iter	Passed	Remaining
207	273	1040
208	273	1036
209	274	1031
210	274	1027
211	275	1022
212	275	1018
213	276	1013
214	276	1009
215	276	1005
216	277	1000
217	277	996
218	278	992
219	278	988
220	279	984
221	280	984
222	281	981
223	282	977
224	282	973
225	283	969
226	283	965
227	284	961
228	284	958
229	285	954
230	285	950
231	286	947
232	286	943
233	288	944
234	289	940
235	289	937
236	290	933
237	290	929
238	290	926
239	291	923
240	291	919
241	292	915
242	292	912
243	293	909
244	293	905
245	294	902
246	295	900
247	295	897
248	296	894
249	296	890
250	297	887
251	297	884
252	298	880
253	298	877
254	299	874
255	299	870
256	300	868
257	301	865
258	301	862
259	302	860
260	303	857
261	303	855
262	304	853
263	305	850
264	305	847
265	306	845
266	306	842
267	307	839
268	307	836
269	308	833
270	309	831
271	310	829
272	312	831
273	313	831
274	314	829
275	315	826
276	315	824
277	316	821
278	316	818
279	317	816
280	318	815
281	319	812
282	319	810
283	320	807
284	320	804
285	321	801
286	321	798
287	322	796
288	322	793
289	322	790
290	323	788
291	323	785
292	324	783
293	325	781
294	325	779
295	326	776
296	327	774
297	327	771
298	328	769
299	328	766
300	329	764
301	329	762
302	330	759
303	330	757
304	331	754
305	331	752
306	332	750
307	333	748
308	333	746
309	334	743
310	334	741
311	335	738
312	335	736
313	336	734
314	336	731
315	337	730
316	337	728
317	338	726
318	339	724
319	339	722
320	340	720
321	341	719
322	342	718
323	343	716
324	343	714
325	344	711
326	344	709
327	345	707
328	345	704
329	346	702
330	346	700
331	347	699
332	348	697
333	348	695
334	349	693
335	349	691
336	350	689
337	350	687
338	351	685
339	352	683
340	352	681
341	353	679
342	354	678
343	355	677
344	355	675
345	356	673
346	356	671
347	357	669
348	357	667
349	358	665
350	358	663
351	359	661
352	359	659
353	360	657
354	360	655
355	361	654
356	362	652
357	362	650
358	363	648
359	363	646
360	364	644
361	364	642
362	365	641
363	366	640
364	367	638
365	367	636
366	368	634
367	370	636
368	372	636
369	372	634
370	373	632
371	373	631
372	374	629
373	374	627
374	375	625
375	375	623
376	376	621
377	377	620
378	377	619
379	378	617
380	378	615
381	379	613
382	380	612
383	380	610
384	380	608
385	381	606
386	381	604
387	382	603
388	382	601
389	383	599
390	384	598
391	385	597
392	385	596
393	386	594
394	386	592
395	387	590
396	387	589
397	388	587
398	388	585
399	389	583
400	389	582
401	390	580
402	390	578
403	391	577
404	392	575
405	392	574
406	393	572
407	393	571
408	394	569
409	394	568
410	395	566
411	396	565
412	397	564
413	397	562
414	398	561
415	400	561
416	400	560
417	401	558
418	401	557
419	402	555
420	402	554
421	403	552
422	403	550
423	404	549
424	404	547
425	405	546
426	406	544
427	406	543
428	407	542
429	408	540
430	408	539
431	409	538
432	409	536
433	410	535
434	410	533
435	411	532
436	411	530
437	412	529
438	413	527
439	413	526
440	414	525
441	415	524
442	416	523
443	417	522
444	417	521
445	418	519
446	418	518
447	419	516
448	419	515
449	420	513
450	423	515
451	424	514
452	424	512
453	425	511
454	425	510
455	426	508
456	426	507
457	427	505
458	428	504
459	433	508
460	433	506
461	434	505
462	434	504
463	435	502
464	435	501
465	435	499
466	438	500
467	439	499
468	440	498
469	440	497
470	441	495
471	441	494
472	442	492
473	442	491
474	443	489
475	443	488
476	444	487
477	445	486
478	445	484
479	446	483
480	446	481
481	447	480
482	447	479
483	447	477
484	448	476
485	448	474
486	449	473
487	449	472
488	450	470
489	451	469
490	451	468
491	452	466
492	452	465
493	453	464
494	453	463
